指标,LightGBM,Stacking,提升百分比
R²,0.6757641852951621,0.6768615599940273,0.16%
RMSE,2854.2612748068755,2849.4270635886573,0.17%
MAE,2104.643022598572,2100.358930177409,0.20%
训练时间(秒),1.8264915943145752,163.4195191860199,NA
样本数量,100000.0,100000.0,NA
