指标,Ridge,LightGBM
R²,0.6667033685182484,0.6757641852951621
RMSE,2893.8678507573336,2854.2612748068755
MAE,2157.220843770545,2104.643022598572
训练时间(秒),0.9170742034912109,1.8264915943145752
