iter	RMSE
349	2800.591581
350	2800.433791
351	2800.306455
352	2800.159212
353	2799.98363
354	2799.814998
355	2799.597143
356	2799.468542
357	2799.310604
358	2799.159748
359	2798.824384
360	2798.681313
361	2798.496062
362	2798.362892
363	2798.261111
364	2798.1142
365	2797.95866
366	2797.872715
367	2797.722929
368	2797.520677
369	2797.303191
370	2797.131323
371	2797.073339
372	2796.971704
373	2796.904019
374	2796.783282
375	2796.706327
376	2796.661885
377	2796.481782
378	2796.328952
379	2796.261096
380	2796.113403
381	2795.870593
382	2795.703002
383	2795.584768
384	2795.518994
385	2795.328167
386	2795.126468
387	2794.972139
388	2794.799416
389	2794.526905
390	2794.269599
391	2794.105623
392	2794.012156
393	2793.796862
394	2793.626407
395	2793.49308
396	2793.240303
397	2793.013225
398	2792.910361
399	2792.721448
400	2792.484015
401	2792.33519
402	2792.219665
403	2792.009359
404	2791.856123
405	2791.723266
406	2791.658578
407	2791.521194
408	2791.40004
409	2791.245008
410	2791.093009
411	2790.922772
412	2790.683855
413	2790.443471
414	2790.278227
415	2790.138313
416	2789.961643
417	2789.801456
418	2789.705092
419	2789.642636
420	2789.499112
421	2789.322811
422	2789.189368
423	2789.019928
424	2788.910395
425	2788.768671
426	2788.58058
427	2788.440181
428	2788.303348
429	2788.156995
430	2787.993415
431	2787.887932
432	2787.725671
433	2787.496991
434	2787.350314
435	2787.199203
436	2786.905596
437	2786.653172
438	2786.523425
439	2786.301792
440	2786.147859
441	2785.926736
442	2785.741142
443	2785.678704
444	2785.478545
445	2785.215758
446	2785.142895
447	2785.029801
448	2784.913375
449	2784.731991
450	2784.582738
451	2784.444208
452	2784.292354
453	2784.148775
454	2784.024814
455	2783.888113
456	2783.846234
457	2783.722008
458	2783.641257
459	2783.479787
460	2783.357363
461	2783.263621
462	2783.119501
463	2783.060841
464	2782.889186
465	2782.740903
466	2782.560399
467	2782.387446
468	2782.2442
469	2782.101835
470	2781.933069
471	2781.838712
472	2781.696138
473	2781.554619
474	2781.438406
475	2781.336056
476	2781.205276
477	2781.104354
478	2781.024509
479	2780.911312
480	2780.65555
481	2780.498317
482	2780.372406
483	2780.28295
484	2780.124422
485	2779.939533
486	2779.848679
487	2779.633596
488	2779.550367
489	2779.432585
490	2779.225339
491	2779.094982
492	2778.938764
493	2778.813813
494	2778.680428
495	2778.561314
496	2778.434077
497	2778.319551
498	2778.181144
499	2778.012869
