Model,R2,RMSE,MAE,Training Time (s)
Basic NN,0.6675195446576129,2890.322429955255,2139.198500438767,25.99713110923767
Deep NN,0.6688361829014979,2884.5938465690842,2137.320581142012,1744421505.1537
