Feature,Importance
Product_ID_P00144042,5129.244241739962
Product_ID_P00122442,5053.866737707632
Product_ID_P00300042,5050.369513693766
Product_ID_P00329742,4953.647900500354
Product_ID_P00354142,4950.837077425531
Product_ID_P00242742,4923.07034486346
Product_ID_P00367042,4917.304209221377
Product_ID_P00110942,4900.255199724827
Product_ID_P00111042,4867.544475814616
Product_ID_P00271042,4839.660165867528
Product_ID_P00085242,4826.001470905943
Product_ID_P00294442,4757.063252967626
Product_ID_P00201442,4673.759450508242
Product_ID_P00112542,4658.697653713117
Product_ID_P00320142,4651.434900677264
Product_ID_P00346342,4636.054274001737
Product_ID_P00174242,4590.513234374751
Product_ID_P00223542,4587.998391138649
Product_ID_P00106942,4534.055360445271
Product_ID_P00110842,4531.374097433056
Product_ID_P00240442,4523.703258691771
Product_ID_P00136542,4514.503711522259
Product_ID_P00010742,4510.827799438482
Product_ID_P00348842,4488.17592574247
Product_ID_P00149242,4450.345616182333
Product_ID_P00262242,4409.182706573573
Product_ID_P00201342,4407.157831727333
Product_ID_P00158042,4406.8586611969495
Product_ID_P00285642,4391.252188181205
Product_ID_P00127942,4336.044694100265
Product_ID_P00235542,4275.757432527601
Product_ID_P00010342,4249.111595597225
Product_ID_P00091342,4243.554128291914
Product_ID_P00316442,4241.501333899617
Product_ID_P00259542,4215.887751743204
Product_ID_P00368242,4214.398975551739
Product_ID_P00062842,4203.331588565815
Product_ID_P00007542,4200.04909844335
Product_ID_P00348942,4189.0067067514055
Product_ID_P00115842,4162.873419776573
Product_ID_P00044442,4130.6477709426335
Product_ID_P00261842,4060.1607236909654
Product_ID_P00039242,4030.2683095018615
Product_ID_P00220342,4024.890978926446
Product_ID_P00189642,4009.5653576300365
Product_ID_P00295542,4006.4182543220236
Product_ID_P00271742,3975.0330128784008
Product_ID_P00222942,3961.955041173938
Product_ID_P00022442,3937.496857857528
Product_ID_P00184442,3931.355625167343
Product_ID_P00112642,3896.335594073427
Product_ID_P00212942,3890.217981019934
Product_ID_P00233642,3857.7198984542956
Product_ID_P00046142,3855.292201016315
Product_ID_P00295342,3854.7233537532506
Product_ID_P00220942,3828.319077973694
Product_ID_P00237542,3816.8918299216894
Product_ID_P00305042,3795.021830932064
Product_ID_P00210042,3769.1149817205337
Product_ID_P00005042,3764.4978882895243
Product_ID_P00018042,3754.072454762893
Product_ID_P00339342,3748.993131786904
Product_ID_P00345742,3722.1095527623725
Product_ID_P00052842,3698.725598634435
Product_ID_P00295842,3672.2084051215475
Product_ID_P00005242,3640.4549085033327
Product_ID_P00124642,3629.4571136871937
Product_ID_P00214442,3620.3110785209274
Product_ID_P00117242,3612.7952454632227
Product_ID_P00354442,3546.9435380814125
Product_ID_P0095542,3532.4671251128534
Product_ID_P00154042,3525.5166064508535
Product_ID_P00224142,3522.1909486184886
Product_ID_P00331942,3521.00060515739
Product_ID_P00210942,3492.277495978777
Product_ID_P00302842,3491.8953053666046
Product_ID_P00217942,3465.201209435811
Product_ID_P00046942,3421.541001985221
Product_ID_P00233142,3416.4694344089394
Product_ID_P00352242,3413.091311469946
